%Loading Case (lbs)	F0 (lbf)	F1 (lbf)	F2 (lbf)	F3D (lbf)	LVDT (in)	%2/19/20201:24 PM
50.000	12.771	13.441	25.652	-2.450	0.064
50.000	12.766	13.462	25.654	-2.110	0.064
45.000	11.886	11.657	22.980	-10.029	0.059
45.000	11.882	11.705	22.987	-9.479	0.059
45.000	11.874	11.705	22.988	-9.405	0.059
45.000	11.884	11.668	22.988	-9.835	0.059
45.000	11.873	11.688	22.980	-9.326	0.059
45.000	11.879	11.673	22.973	-9.781	0.059
45.000	11.880	11.679	22.987	-9.601	0.059
45.000	11.875	11.697	22.981	-9.451	0.059
45.000	11.872	11.667	22.977	-9.791	0.059
45.000	11.887	11.669	22.981	-9.819	0.059
40.000	10.039	10.978	20.444	-15.535	0.055
40.000	10.042	10.968	20.445	-15.911	0.055
40.000	10.047	10.963	20.450	-15.888	0.055
40.000	10.031	10.971	20.444	-15.748	0.055
40.000	10.034	10.969	20.447	-15.954	0.055
40.000	10.049	10.949	20.453	-16.257	0.055
40.000	10.046	10.958	20.454	-16.311	0.055
40.000	10.040	10.947	20.445	-16.177	0.055
40.000	10.040	10.974	20.444	-16.051	0.055
40.000	10.026	10.948	20.438	-16.334	0.055
35.000	9.501	8.925	17.927	-24.217	0.047
35.000	9.486	8.972	17.927	-24.077	0.047
35.000	9.485	8.824	17.935	-24.606	0.047
35.000	9.472	9.048	17.940	-24.038	0.047
35.000	9.472	9.053	17.934	-23.544	0.047
35.000	9.475	9.062	17.933	-23.867	0.047
35.000	9.458	8.969	17.948	-23.779	0.047
35.000	9.468	8.946	17.948	-24.316	0.047
35.000	9.497	8.960	17.925	-24.315	0.047
35.000	9.472	9.050	17.935	-24.260	0.047
30.000	7.669	8.360	15.405	-28.929	0.041
30.000	7.692	8.333	15.407	-29.450	0.041
30.000	7.679	8.334	15.403	-29.594	0.041
30.000	7.684	8.342	15.399	-29.601	0.041
30.000	7.674	8.382	15.417	-28.702	0.041
30.000	7.683	8.372	15.410	-28.821	0.041
30.000	7.672	8.367	15.409	-28.855	0.041
30.000	7.667	8.347	15.406	-29.504	0.041
30.000	7.672	8.343	15.412	-29.336	0.041
30.000	7.663	8.368	15.418	-28.558	0.041
25.000	6.566	6.654	12.830	-39.707	0.034
25.000	6.572	6.598	12.822	-40.413	0.034
25.000	6.577	6.607	12.826	-40.564	0.034
25.000	6.569	6.627	12.827	-39.768	0.034
25.000	6.572	6.604	12.816	-40.501	0.034
25.000	6.574	6.605	12.823	-40.370	0.034
25.000	6.565	6.636	12.832	-39.869	0.034
25.000	6.572	6.583	12.820	-40.561	0.034
25.000	6.559	6.630	12.825	-39.839	0.034
25.000	6.580	6.615	12.820	-40.054	0.034
20.000	4.786	5.870	10.251	-47.533	0.030
20.000	4.786	5.866	10.244	-47.972	0.030
20.000	4.793	5.883	10.244	-47.985	0.030
20.000	4.792	5.863	10.249	-47.848	0.030
20.000	4.784	5.889	10.250	-48.002	0.030
20.000	4.796	5.921	10.258	-47.914	0.030
20.000	4.790	5.889	10.249	-48.149	0.030
20.000	4.797	5.895	10.256	-47.572	0.030
20.000	4.792	5.874	10.236	-48.212	0.030
20.000	4.803	5.853	10.254	-48.041	0.030
15.000	4.014	3.835	7.652	-59.575	0.024
15.000	4.030	3.841	7.671	-59.371	0.024
15.000	4.033	3.820	7.656	-59.969	0.024
15.000	4.036	3.817	7.665	-59.294	0.024
15.000	4.015	3.847	7.659	-59.358	0.024
15.000	4.027	3.821	7.653	-59.653	0.024
15.000	4.026	3.846	7.669	-59.313	0.024
15.000	4.022	3.853	7.666	-59.116	0.024
15.000	4.028	3.829	7.655	-59.776	0.024
15.000	4.031	3.853	7.668	-59.244	0.024
10.000	2.146	3.209	5.109	-69.091	0.019
10.000	2.130	3.247	5.111	-68.582	0.019
10.000	2.145	3.207	5.111	-68.860	0.019
10.000	2.138	3.226	5.107	-68.429	0.019
10.000	2.135	3.225	5.107	-68.730	0.019
10.000	2.135	3.231	5.106	-68.623	0.019
10.000	2.135	3.224	5.107	-68.592	0.019
10.000	2.133	3.237	5.105	-68.376	0.019
10.000	2.141	3.257	5.109	-68.493	0.019
10.000	2.128	3.247	5.103	-68.205	0.019
5.000	1.179	1.393	2.530	-80.091	0.013
5.000	1.169	1.438	2.523	-79.247	0.013
5.000	1.176	1.419	2.524	-79.557	0.013
5.000	1.170	1.409	2.520	-79.776	0.013
5.000	1.176	1.442	2.533	-79.299	0.013
5.000	1.176	1.434	2.528	-79.555	0.013
5.000	1.169	1.425	2.519	-79.562	0.013
5.000	1.176	1.415	2.533	-79.589	0.013
5.000	1.174	1.439	2.534	-79.155	0.013
5.000	1.176	1.404	2.533	-79.865	0.013
0.000	0.046	0.047	-0.012	-88.027	0.008
0.000	0.040	0.003	-0.014	-88.458	0.008
0.000	0.045	-0.000	-0.011	-88.343	0.008
0.000	0.057	0.016	-0.008	-88.186	0.008
0.000	0.044	0.025	-0.005	-88.239	0.008
0.000	0.041	0.034	-0.012	-87.522	0.008
0.000	0.045	0.050	-0.005	-87.602	0.008
0.000	0.046	0.040	-0.004	-87.470	0.008
0.000	0.041	0.041	-0.003	-87.852	0.008
0.000	0.055	0.049	0.004	-87.655	0.008
